City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sharlyk,52.9167,54.75,22.59,45,82,3.41,RU,1688946861
84,mazagao,-0.115,-51.2894,28.03,97,12,1.74,BR,1688946862
85,ryotsu-minato,38.0833,138.4333,24.92,90,99,4.68,JP,1688946671
86,bredasdorp,-34.5322,20.0403,9.37,72,76,1.02,ZA,1688946862
87,nar'yan-mar,67.6713,53.087,5.8,88,100,2.95,RU,1688946862
88,revda,56.801,59.9303,17.77,88,98,1.67,RU,1688946134
89,viedma,-40.8135,-62.9967,7.71,82,96,1.91,AR,1688946863
90,lumding railway colony,25.749,93.17,24.98,98,100,0.77,IN,1688946568
91,vernon,50.2581,-119.2691,31.34,88,42,3.09,CA,1688946298
92,mana,5.6592,-53.7767,25.68,89,25,3.19,GF,1688946864
93,ushuaia,-54.8,-68.3,2.81,81,75,6.69,AR,1688946864
94,kodiak,57.79,-152.4072,9.23,94,98,5.88,US,1688946864
95,howard springs,-12.497,131.047,24.95,78,75,4.27,AU,1688946280
96,kalaleh,37.3807,55.4916,31.39,15,0,3.5,IR,1688946865
97,nema,57.5067,50.5011,17.6,99,100,1.74,RU,1688946865
98,lebu,-37.6167,-73.65,8.39,73,5,2.81,CL,1688946865
99,blackmans bay,-43.0167,147.3167,12.07,87,92,3.93,AU,1688946866
100,ponta delgada,37.7333,-25.6667,21.4,88,40,3.09,PT,1688946574
101,antsiranana,-12.2787,49.2917,22.27,83,12,5.95,MG,1688946866
102,ancud,-41.8697,-73.8203,6.82,78,15,1.09,CL,1688946282
103,umm kaddadah,13.6017,26.6876,29.37,47,85,5.41,SD,1688946867
104,dudinka,69.4058,86.1778,10.9,77,100,5.21,RU,1688946293
105,qaqortoq,60.7167,-46.0333,9.33,70,24,1.07,GL,1688946868
106,walvis bay,-22.9575,14.5053,11.16,71,4,2.06,NA,1688946868
107,kapuskasing,49.4169,-82.4331,22.05,43,75,5.14,CA,1688946301
108,al ghayzah,16.2079,52.176,27.79,89,65,2.65,YE,1688946869
109,buka,40.8108,69.1986,22.13,33,0,3.32,UZ,1688946869
110,nova sintra,14.8667,-24.7167,21.72,82,22,10.71,CV,1688946870
111,pisco,-13.7,-76.2167,20.03,77,0,5.66,PE,1688946870
112,vilyuchinsk,52.9306,158.4028,15.15,96,100,1.68,RU,1688946870
113,saipan,15.1355,145.701,30.39,100,40,8.23,MP,1688946616
114,santa cruz,-17.8,-63.1667,26.03,78,40,7.72,BO,1688946871
115,superior,46.7208,-92.1041,29.31,44,0,9.26,US,1688946841
116,wanning,18.8003,110.3967,28.98,78,9,3.86,CN,1688946871
117,atafu village,-8.5421,-172.5159,28.94,78,98,7.14,TK,1688946871
118,yuzhno-kurilsk,44.0306,145.8556,18.07,88,100,2.94,RU,1688946872
119,atakpame,7.5333,1.1333,21.91,98,100,1.89,TG,1688946872
120,pangody,65.85,74.4859,11.41,81,98,1.67,RU,1688946872
121,namibe,-15.1961,12.1522,16.85,85,2,1.11,AO,1688946873
122,st. john's,47.5649,-52.7093,13.49,96,100,3.6,CA,1688946873
123,isangel,-19.55,169.2667,24.06,60,20,3.6,VU,1688946873
124,liberia,6.5,-9.5,22.17,98,100,1.57,LR,1688946874
125,takaungu,-3.6837,39.8566,23.51,85,32,5.02,KE,1688946874
126,stanley,54.868,-1.6985,13.2,92,0,1.03,GB,1688946875
127,alofi,-19.0595,-169.9187,25.94,78,81,5.14,NU,1688946875
128,barra de santo antonio,-9.4047,-35.5072,22.6,87,48,2.15,BR,1688946875
129,astrakhan,46.3497,48.0408,23.93,73,0,2.0,RU,1688946875
130,francistown,-21.17,27.5079,11.07,26,0,6.82,BW,1688946876
131,gavrilov-yam,57.3018,39.8533,15.91,89,100,4.97,RU,1688946685
132,midvagur,62.0511,-7.1939,14.46,82,100,3.6,FO,1688946876
133,hawaiian paradise park,19.5933,-154.9731,27.8,60,92,4.68,US,1688946876
134,port elizabeth,-33.918,25.5701,12.16,76,40,4.12,ZA,1688946877
135,pasighat,28.0667,95.3333,25.5,96,100,0.03,IN,1688946877
136,itoman,26.1247,127.6694,31.01,79,20,4.63,JP,1688946602
137,bedong,5.7274,100.5088,25.0,96,88,0.73,MY,1688946878
138,thompson,55.7435,-97.8558,12.09,66,75,3.6,CA,1688946878
139,weno,7.4515,151.8468,27.92,80,100,3.52,FM,1688946878
140,trincomalee,8.5711,81.2335,27.06,75,95,7.0,LK,1688946691
141,puerto aysen,-45.4,-72.7,4.37,99,100,0.95,CL,1688946879
142,lethbridge,49.7,-112.8186,33.27,19,20,3.6,CA,1688946879
143,medebach,51.2,8.7167,19.54,91,70,1.07,DE,1688946880
144,jamestown,42.097,-79.2353,22.8,69,100,3.09,US,1688946880
145,sinabang,2.4803,96.3801,25.97,83,100,2.4,ID,1688946880
146,belokurikha,51.9959,84.9896,14.9,93,66,1.99,RU,1688946881
147,vila franca do campo,37.7167,-25.4333,21.23,90,91,1.96,PT,1688946881
148,bela,25.9333,81.9833,31.46,67,90,1.34,IN,1688946882
149,lautoka,-17.6167,177.4667,28.92,48,20,1.03,FJ,1688946539
150,san patricio,28.017,-97.5169,34.05,61,15,7.03,US,1688946882
151,nuuk,64.1835,-51.7216,11.34,71,100,1.54,GL,1688946286
152,yellowknife,62.456,-114.3525,18.29,32,75,7.2,CA,1688946883
153,whitehorse,60.7161,-135.0538,29.45,15,20,1.34,CA,1688946883
154,gadzhiyevo,69.2551,33.3362,5.27,85,33,1.16,RU,1688946297
155,richards bay,-28.783,32.0377,14.79,65,100,9.48,ZA,1688946271
156,enewetak,11.3474,162.3373,28.06,79,100,6.24,MH,1688946884
157,ulladulla,-35.35,150.4667,14.75,52,8,1.82,AU,1688946631
158,mil'kovo,55.6078,37.7956,17.08,79,67,4.71,RU,1688946885
159,bilibino,68.0546,166.4372,17.01,49,100,2.32,RU,1688946885
160,papatowai,-46.5619,169.4708,9.94,77,97,0.99,NZ,1688946885
161,berezovyy,51.6667,135.7,20.45,54,69,2.83,RU,1688946885
162,loukhi,66.0764,33.0381,5.35,84,3,1.59,RU,1688946886
163,rongelap,11.1635,166.8941,28.33,77,100,7.3,MH,1688946887
164,san julian,21.0167,-102.1667,23.95,51,80,1.28,MX,1688946887
165,talnakh,69.4865,88.3972,10.67,84,100,3.51,RU,1688946887
166,kudahuvadhoo,2.6708,72.8944,27.79,71,21,2.78,MV,1688946887
167,usinsk,65.9939,57.5281,7.71,87,100,4.68,RU,1688946888
168,iskateley,67.6803,53.1512,5.76,88,100,2.95,RU,1688946888
